customer_id,transaction_date,daily_spend,total_qty,avg_price,transactions,avg_discount,next_30d_spend,region,city,gender,age,store_type
C00001,2025-09-18,593.1600000000001,2,296.58000000000004,2,0.0,5351.521955,South,Southport,M,41,Outlet
C00001,2025-09-19,49.72,4,12.43,1,0.0,5318.911955,South,Southport,M,41,Outlet
C00001,2025-09-21,97.61,1,97.61,1,0.0,5465.471955,South,Southport,M,41,Outlet
C00001,2025-09-23,360.0,2,180.0,1,0.0,5951.431955,South,Southport,M,41,Outlet
C00001,2025-09-24,500.0,2,250.0,1,0.0,6443.54363,South,Southport,M,41,Outlet
C00001,2025-09-25,515.291675,5,127.555,2,0.125,6620.56719,South,Southport,M,41,Outlet
C00001,2025-09-27,183.79,1,183.79,1,0.0,6617.4521,South,Southport,M,41,Outlet
C00001,2025-09-28,6.7,1,6.7,1,0.0,6908.810450000001,South,Southport,M,41,Outlet
C00001,2025-09-29,301.21848,2,150.76,1,0.1,6770.70045,South,Southport,M,41,Outlet
C00001,2025-10-01,15.4,1,15.4,1,0.0,6540.82045,South,Southport,M,41,Outlet
C00001,2025-10-04,129.17000000000002,2,64.58500000000001,2,0.0,6394.30545,South,Southport,M,41,Outlet
C00001,2025-10-05,145.155,4,43.4,3,0.049999999999999996,6536.228445,South,Southport,M,41,Outlet
C00001,2025-10-08,151.052995,2,75.53999999999999,2,0.025,6326.118445,South,Southport,M,41,Outlet
C00001,2025-10-10,12.43,1,12.43,1,0.0,6268.960785,South,Southport,M,41,Outlet
C00001,2025-10-12,100.93,1,100.93,1,0.0,6037.740785,South,Southport,M,41,Outlet
C00001,2025-10-13,12.24,3,4.08,1,0.0,5938.630785,South,Southport,M,41,Outlet
C00001,2025-10-15,20.89,1,20.89,1,0.0,6086.480785000001,South,Southport,M,41,Outlet
C00001,2025-10-16,303.62,2,151.81,1,0.0,6285.860785000001,South,Southport,M,41,Outlet
C00001,2025-10-17,280.17,3,123.93,2,0.0,6352.160785,South,Southport,M,41,Outlet
C00001,2025-10-21,361.47,5,61.696666666666665,3,0.0,8137.160785,South,Southport,M,41,Outlet
C00001,2025-10-22,1800.0,2,900.0,1,0.0,8328.926005000001,South,Southport,M,41,Outlet
C00001,2025-10-23,319.18,3,99.59,2,0.0,8523.288985,South,Southport,M,41,Outlet
C00001,2025-10-24,196.82297999999997,2,98.50999999999999,2,0.1,8618.778985,South,Southport,M,41,Outlet
C00001,2025-10-26,129.33,5,54.015,2,0.0,7917.818785,South,Southport,M,41,Outlet
C00001,2025-10-27,316.78,3,96.68,2,0.0,7168.10669,South,Southport,M,41,Outlet
C00001,2025-10-28,62.3,1,62.3,1,0.0,7383.00223,South,Southport,M,41,Outlet
C00001,2025-10-29,240.0,2,120.0,1,0.0,7352.28223,South,Southport,M,41,Outlet
C00001,2025-10-30,119.76,2,60.0,1,0.2,7593.21223,South,Southport,M,41,Outlet
C00001,2025-11-01,260.13,2,130.19,2,0.05,7596.60113,South,Southport,M,41,Outlet
C00001,2025-11-02,12.28,1,12.28,1,0.0,7139.338790000001,South,Southport,M,41,Outlet
C00001,2025-11-04,135.89765999999997,1,136.17,1,0.2,7202.47729,South,Southport,M,41,Outlet
C00001,2025-11-05,112.85849999999999,3,52.3,2,0.125,7693.527290000001,South,Southport,M,41,Outlet
C00001,2025-11-07,588.6600000000001,2,294.33000000000004,2,0.0,7352.03729,South,Southport,M,41,Outlet
C00001,2025-11-08,18.509999999999998,3,6.17,1,0.0,6856.7172900000005,South,Southport,M,41,Outlet
C00001,2025-11-09,4.68,1,4.68,1,0.0,6504.995615,South,Southport,M,41,Outlet
C00001,2025-11-10,163.57,1,163.57,1,0.0,6504.995615,South,Southport,M,41,Outlet
C00001,2025-11-11,183.79,1,183.79,1,0.0,6501.615615000001,South,Southport,M,41,Outlet
C00001,2025-11-13,3.32,1,3.32,1,0.0,6506.857135,South,Southport,M,41,Outlet
C00001,2025-11-14,306.46,1,306.46,1,0.0,6498.197135,South,Southport,M,41,Outlet
C00001,2025-11-18,6.74,1,6.74,1,0.0,6400.073715,South,Southport,M,41,Outlet
C00001,2025-11-20,31.04658,3,10.38,1,0.3,6326.898715,South,Southport,M,41,Outlet
C00001,2025-11-21,71.98,1,71.98,1,0.0,6189.58572,South,Southport,M,41,Outlet
C00001,2025-11-25,13.74,2,6.87,1,0.0,6427.15572,South,Southport,M,41,Outlet
C00001,2025-11-26,250.0,1,250.0,1,0.0,6338.916655,South,Southport,M,41,Outlet
C00001,2025-11-28,12.690935000000001,1,12.71,1,0.15,6451.096655,South,Southport,M,41,Outlet
C00001,2025-12-03,124.42,1,124.42,1,0.0,6551.136654999999,South,Southport,M,41,Outlet
C00001,2025-12-05,120.92999999999999,5,28.514999999999997,2,0.0,6256.916655,South,Southport,M,41,Outlet
C00001,2025-12-06,9.4,1,9.4,1,0.0,6022.064595,South,Southport,M,41,Outlet
C00001,2025-12-08,45.31794,5,8.344999999999999,2,0.1,6284.084595,South,Southport,M,41,Outlet
C00001,2025-12-10,623.49,5,106.62333333333333,3,0.0,5021.104595000001,South,Southport,M,41,Outlet
C00001,2025-12-11,537.02,4,134.255,2,0.0,4792.264595000001,South,Southport,M,41,Outlet
C00001,2025-12-12,90.34,2,45.17,1,0.0,4610.921615,South,Southport,M,41,Outlet
C00001,2025-12-13,15.48,4,3.87,1,0.0,4637.361615000001,South,Southport,M,41,Outlet
C00001,2025-12-16,155.77,1,155.77,1,0.0,4385.906615,South,Southport,M,41,Outlet
C00001,2025-12-20,65.325,6,10.895,2,0.05,4401.121615,South,Southport,M,41,Outlet
C00001,2025-12-21,77.515,2,38.765,2,0.05,4181.911615,South,Southport,M,41,Outlet
C00001,2025-12-22,20.79,3,6.93,1,0.0,4882.731615000001,South,Southport,M,41,Outlet
C00001,2025-12-23,820.58,1,820.58,1,0.0,4786.171615,South,Southport,M,41,Outlet
C00001,2025-12-25,163.57,1,163.57,1,0.0,4925.701615,South,Southport,M,41,Outlet
C00001,2025-12-26,151.81,1,151.81,1,0.0,4917.573955,South,Southport,M,41,Outlet
C00001,2025-12-27,127.77,2,63.885,2,0.0,5014.695455000001,South,Southport,M,41,Outlet
C00001,2025-12-29,209.98,2,104.99,1,0.0,4444.281715,South,Southport,M,41,Outlet
